variable,dv,n,r,p,b_adj_for_baseline,p_adj_for_baseline,q
har_score,delta_ttc_reach_rate,57,-0.28736614756714607,0.03020098878339608,-0.004409041924558867,0.32057502068723653,0.48321582053433726
education_years,delta_alpha_hb,52,-0.2978664252345683,0.03197876942670845,-0.012214481654540792,0.08286630266141605,0.5000316673994412
set_shifting_score,delta_ttc_reach_rate,54,-0.2899119038941205,0.0334648575724736,-0.03837949102485507,0.20345780938329994,0.5116404891080407
tei_wellbeing,delta_win_rate,54,0.28538328342174357,0.036458397767015316,0.013412386645212042,0.11685624085518583,0.5452908187762291
ffmq_actaware,delta_p_shift_lose,57,0.2732729741755307,0.03970675340440298,0.04340415891179192,0.04985611660242498,0.5624473481706369
spsrq_sr,delta_alpha_hb,54,0.28071686343146374,0.039771360933558306,0.005096591819027175,0.10470241935304038,0.5624473481706369
attention_composite,delta_ttc_reach_rate,55,-0.27775305617208484,0.04005802334354827,-0.016664131628247564,0.7191476963689769,0.5624473481706369
scaared_somatic,delta_win_rate,55,-0.27308141733663427,0.043671637915692604,-0.003914422238581138,0.028957938533026476,0.5958245434957494
ios_stranger,delta_win_rate,57,0.2676075468521646,0.04416722633471399,0.010044594051631626,0.07500025728323607,0.5958245434957494
panas_post_positive,delta_win_rate,57,0.2661879940496594,0.045347049805097364,0.001737154767817448,0.08122144036895954,0.5999763512674421
scd_q,delta_ttc_censored,57,-0.26348438620952275,0.047665513452613516,-0.42626411771244166,0.3245313943656528,0.6076203096068695
aq_attention_switching,delta_win_rate,55,-0.26730085948211857,0.048508779272956604,-0.008192048271371549,0.04134531046715909,0.6076203096068695
aq_social_skill,delta_ttc_reach_rate,55,0.267225859899676,0.04857429800636312,0.012395718286525682,0.31543304717814896,0.6076203096068695
nbs_total,delta_alpha_hb,57,-0.2613484758030587,0.049564890173096496,-0.03372651449474935,0.20245497467530912,0.6087923801287224
bpsqi_global,delta_p_shift_lose,57,0.2599641957431603,0.05082851465001339,0.01597488288997547,0.024762532969195297,0.6087923801287224
aq_attention_switching,delta_p_shift_lose,55,0.2641516714771651,0.05132261344108415,0.017556147505893308,0.034019565148178596,0.6087923801287224
age,delta_win_rate,57,0.25830730710607264,0.05237535298092616,0.0007656061936943208,0.07096273174816675,0.6107498788284271
ffmq_nonjudge,delta_ttc_reach_rate,57,-0.25530244265804997,0.05527817381411682,-0.057425846199105,0.07740848719461739,0.6259667663186059
ffmq_total,delta_ttc_reach_rate,57,-0.25507816661369354,0.05549996038580663,-0.10801199371404861,0.06615063859654736,0.6259667663186059
susd_mania,delta_ttc_censored,57,-0.25285408379792607,0.05773861193068886,-0.19631295059860285,0.09830750485437169,0.6407123388437732
scd_q,delta_ttc_reach_rate,57,0.2500816925452071,0.060630757011563695,0.03362109200531523,0.25567796354557004,0.6517294679420202
flanker_score,delta_win_rate,54,-0.25690008520229696,0.060757303332438506,-0.007003443696819696,0.49657156138350456,0.6517294679420202
planfulness_total,delta_p_shift_lose,57,0.24890206150845695,0.06189622493421672,0.05396461805903619,0.1621013812537808,0.6517294679420202
ffmq_describe,delta_p_stay_win,57,-0.24832721282254783,0.06252055942467055,-0.0349843863143683,0.04116583000043147,0.6517294679420202
aq_attention_detail,delta_win_rate,55,-0.25050831957858544,0.06508383938294722,-0.007998641941240668,0.0448960404526371,0.6634702819102284
aq_imagination,delta_win_rate,55,-0.2500656200183313,0.0655755511190342,-0.005489741222932543,0.24159033624099097,0.6634702819102284
education_years,delta_p_stay_win,52,-0.25492415758140197,0.06817317312664789,-0.008798770039853627,0.13023288845627795,0.6732459756327025
mspss_friends,delta_alpha_hb,52,-0.2537860371742595,0.06945640703292441,-0.01876784088100098,0.2902897329794517,0.6732459756327025
planfulness_to,delta_ttc_reach_rate,57,-0.24221464263115092,0.06947741899697947,-0.06161243065792723,0.2535440566038936,0.6732459756327025
bpsqi_global,delta_p_stay_win,57,-0.2412396425936684,0.07064214515244142,-0.005234366729113595,0.42128795961960386,0.6750249425677736
mean_magnE,delta_p_stay_win,57,0.2384733492287831,0.07403166289542754,0.819565293348358,0.07545875841840415,0.6961858549934681
ffmq_observe,delta_ttc_reach_rate,57,-0.23779643623022456,0.07488045533359976,-0.09969306368741782,0.006499109749415543,0.6961858549934681
aq_communication,delta_alpha_hb,55,0.24082446991526424,0.07653601459616935,0.01607420849359549,0.07653838833484387,0.6984912194039402
theta_median,delta_win_rate,53,0.24427374347843536,0.07794331104224159,0.0008451397562928083,0.2453143600670908,0.6984912194039402
median_magnE,delta_p_stay_win,57,0.23489047192417395,0.07861245126775,0.8331000742765129,0.08270055850872032,0.6984912194039402
ffmq_describe,delta_beta_hb,57,-0.23403385038335525,0.07974020864478366,-0.23421958277357913,0.16387480950491023,0.6984912194039402
mspss_family,delta_alpha_hb,52,-0.24480647397471617,0.08026771769782495,-0.01779515216870359,0.17803828101318414,0.6984912194039402
tei_emotionality,delta_alpha_hb,54,-0.23719846458156915,0.08416732049263204,-0.04236136953771146,0.02315899299673052,0.6984912194039402
present_bias_10wk,delta_ttc_censored,57,0.229307374634918,0.08619439291491003,0.24680006814038388,0.2091947158449721,0.6984912194039402
p95_magnE,delta_p_stay_win,57,0.22876756110071722,0.08695690938287937,0.5493925704114131,0.07287519174104103,0.6984912194039402
mspss_significant_other,delta_alpha_hb,52,-0.23966262697390037,0.08703336038699698,-0.01887188793370427,0.15250261967346404,0.6984912194039402
present_bias_14wk,delta_accuracy,57,-0.2286549963491995,0.08711657844107089,-0.012973967187607027,0.08082137776316226,0.6984912194039402
aq_total,delta_ttc_reach_rate,55,0.23239688688900167,0.08775184046720946,0.0037120384229029904,0.41163276583912,0.6984912194039402
panas_post_positive,delta_beta_hb,57,0.228034302783941,0.0880011461231903,0.012717836690615422,0.4740787036455698,0.6984912194039402
eros_ext_worsening,delta_ttc_censored,57,0.2277240705137587,0.08844589859884784,1.4532847199133612,0.10066113247697246,0.6984912194039402
spsrq_sr,delta_ttc_censored,54,-0.23344420921967635,0.08934190015631793,-0.09474238513556375,0.17291095560741976,0.6984912194039402
peak_magnE,delta_ttc_reach_rate,57,-0.22567761988320134,0.09142400689377626,-0.23341341230229576,0.5851433278902752,0.7067383903698659
memory_reduced,delta_ttc_reach_rate,57,-0.2234749890853358,0.09471637132943404,-0.0421409184160834,0.13418897351544395,0.7148843632997628
hvlt_total,delta_ttc_reach_rate,57,-0.22347498908533575,0.09471637132943404,-0.008853913145063256,0.13418897351544354,0.7148843632997628
ffmq_describe,delta_ttc_reach_rate,57,-0.2228846716125238,0.09561425483203677,-0.049246479692773175,0.13701990578666773,0.7148843632997628
present_bias_5wk,delta_ttc_reach_rate,57,-0.22175907292075922,0.09734466091639656,-0.018147714579146455,0.1940356517966975,0.7148843632997628
present_bias_10wk,delta_accuracy,57,-0.22136165554290593,0.09796139963244094,-0.010559097850012678,0.09905239292080481,0.7148843632997628
panas_post_positive,delta_ttc_reach_rate,57,0.2208804461499117,0.09871223039749631,0.0036062259427285053,0.2913806636782599,0.7148843632997628
flanker_score,delta_accuracy,54,-0.22610920884055308,0.10016652639721228,-0.00637640610577086,0.6945759265702661,0.717860105846688
salthouse_letter,delta_ttc_censored,56,0.2172222933928658,0.10780301239429368,0.10289347062484958,0.04365747115286476,0.7560718925962413
salthouse_pattern,delta_p_shift_lose,56,0.21663428531361245,0.10878304336124689,0.002565757569873486,0.20759726694934988,0.7560718925962413
p95_magnE,delta_ttc_reach_rate,57,-0.2144403676185572,0.10919611810393778,-0.3295997750190397,0.5918621161991611,0.7560718925962413
ffmq_total,delta_p_shift_lose,57,0.21396873187900445,0.10999630360034854,0.0530406266320053,0.14430674861329051,0.7560718925962413
flanker_score,delta_ttc_censored,54,0.21875271251966827,0.11201560604278249,0.4601860469162681,0.33619840870943335,0.7560718925962413
theta_p75,delta_alpha_hb,53,0.22025810855219213,0.1130120626705408,0.001440529426086062,0.1697816103515365,0.7560718925962413
peak_magnE,delta_p_stay_win,57,0.2121116062195223,0.11319099554856518,0.3504717371809292,0.09883552059672499,0.7560718925962413
aq_imagination,delta_ttc_censored,55,-0.21513629484093297,0.11470820761702064,-0.27064589956573554,0.21847597376020308,0.7588389119279827
ffmq_total_no_obs,delta_p_shift_lose,57,0.20787265322848175,0.12074888374776249,0.04608218908959114,0.14556857491975003,0.7906996397471072
global_composite,delta_accuracy,57,-0.2065608172522807,0.12316396539412343,-0.019524039634395807,0.33295581191471857,0.7906996397471072
present_bias_14wk,delta_p_shift_lose,57,-0.20643970092297415,0.12338877595078697,-0.016072953645238145,0.0944454977205142,0.7906996397471072
ios_stranger,delta_beta_hb,57,0.20604613015563072,0.12412145507658079,0.15299848953271952,0.10948357023374986,0.7906996397471072
scaared_total,delta_win_rate,55,-0.20775202406534365,0.12800875574420353,-0.0006986988630655048,0.2766150335245889,0.8079818711193764
gti_score,delta_alpha_hb,52,-0.2128176015210141,0.12983433631994018,-0.029318855432263653,0.3774864277180219,0.8120547580738077
har_score,delta_ttc_censored,57,0.19789399895367976,0.1400503763099544,0.042139739095058415,0.49763633726691536,0.8585412118582594
aq_imagination,delta_beta_hb,55,-0.20116454975257803,0.1408288553972672,-0.0902416574223055,0.2412153132663702,0.8585412118582594
ffmq_total_no_obs,delta_ttc_reach_rate,57,-0.19652828847552073,0.14286207221041805,-0.0562777946710252,0.2799401192482583,0.8585412118582594
mspss_significant_other,delta_win_rate,52,0.20567558724851912,0.14352638244019839,0.010183519244102397,0.07396717365229569,0.8585412118582594
theta_p75,delta_win_rate,53,0.203528076265322,0.1438168674588753,0.0005857247106759427,0.20930724126254596,0.8585412118582594
mean_magnE,delta_ttc_reach_rate,57,-0.19562056515378606,0.1447540415342414,-0.4525131344661907,0.6219214699109741,0.8585412118582594
ffmq_nonjudge,delta_ttc_censored,57,0.19350682901461944,0.1492319611417728,0.4302086742601977,0.3659323389328823,0.872556707601247
ffmq_observe,delta_beta_hb,57,-0.1920333123873912,0.1524138520656356,-0.5436472433146728,0.004012359441942576,0.872556707601247
norc_lifetime,delta_alpha_hb,57,0.1919626844071845,0.1525676162729102,0.017821706441545525,0.41121010427048965,0.872556707601247
eros_int_improving,delta_ttc_reach_rate,57,-0.1909933178156767,0.15468963841132566,-0.02361083847796329,0.556233405452713,0.872556707601247
present_bias_5wk,delta_alpha_hb,57,-0.1899073010412493,0.15709282128737337,-0.010774244399587414,0.23928871142320227,0.872556707601247
aq_total,delta_beta_hb,55,-0.19263112414704908,0.15883132483979384,-0.033325232983005125,0.12388726618661892,0.872556707601247
global_reduced,delta_ttc_censored,57,0.18911863612213825,0.1588551815444435,0.7018338077796156,0.19451829929356707,0.872556707601247
present_bias_14wk,delta_ttc_censored,57,0.1883712326230516,0.160538726590353,0.23951167750311425,0.29331412115037975,0.872556707601247
global_reduced,delta_accuracy,57,-0.18799420108122997,0.1613929582023319,-0.014451888031527336,0.4301367540266658,0.872556707601247
age,delta_accuracy,57,0.1879708411233427,0.16144599390913464,0.0010672170888258706,0.11601823985006658,0.872556707601247
present_bias_10wk,delta_ttc_reach_rate,57,-0.1875425847584804,0.16242056265220642,-0.013796265693444271,0.3127679355802688,0.872556707601247
salthouse_letter,delta_accuracy,56,-0.1880216728488282,0.16522757833908774,-0.0024783732480674297,0.14668543361640282,0.872556707601247
present_bias_10wk,delta_p_shift_lose,57,-0.18576103177500786,0.1665211288851435,-0.01128361872050541,0.1740519426310184,0.872556707601247
scaared_gad,delta_win_rate,55,-0.18907102429139033,0.16682217352690995,-0.0008230640796468815,0.5613457815443533,0.872556707601247
attention_composite,delta_accuracy,55,-0.18889722395841652,0.16721965617968798,-0.003626899045891519,0.8620360127420355,0.872556707601247
median_magnE,delta_ttc_reach_rate,57,-0.18537946170184572,0.16740913576070438,-0.43337154817491896,0.64903820181204,0.872556707601247
ios_computer,delta_alpha_hb,57,0.1838953012173938,0.17089604099699163,0.018868073011757212,0.16480610718968447,0.8807746491350852
kbit_iq,delta_ttc_reach_rate,55,-0.18702462497718128,0.17154622526758928,-0.0031133957493872473,0.18779180189940956,0.8807746491350852
aq_social_skill,delta_ttc_censored,55,-0.18632859447396136,0.1731749478669758,-0.15526112056754432,0.36362844867981314,0.8809176476254348
ios_investment_stranger,delta_win_rate,36,0.2307660241217335,0.1757075665132082,0.005708351869775477,0.1965891032295249,0.8809176476254348
ffmq_total,delta_p_stay_win,57,-0.1814017207454098,0.17687307923558532,-0.050582080027378,0.10080737817871603,0.8809176476254348
speed_reduced,delta_p_shift_lose,56,0.18274495848402936,0.177633414789315,0.018169834756824033,0.3212584304472659,0.8809176476254348
present_bias_5wk,delta_ttc_censored,57,0.18082481304302583,0.17827722331583734,0.14965183186063075,0.4610417658008842,0.8809176476254348
speed_reduced,delta_ttc_censored,56,0.18197536213962665,0.17949763615085357,0.6106615424080473,0.1463804067552708,0.8809176476254348
eros_int_worsening,delta_beta_hb,57,0.17947784700961844,0.18158699001544193,0.19009789738835653,0.25562291688017663,0.8809176476254348
kbit_iq,delta_accuracy,55,-0.18271261895367627,0.18181730517850545,-0.001147540721535743,0.3075080119242339,0.8809176476254348
nbs_total,delta_beta_hb,57,0.178601752913448,0.1837633904074255,0.4483314983951384,0.020302832572972752,0.8841203678343269
present_bias_9wk,delta_accuracy,57,-0.1769401819739184,0.18794255939452434,-0.015155319803677155,0.05133692404317098,0.8860309948902191
ios_computer,delta_p_shift_lose,57,0.17617929748911387,0.18987892640487555,0.01836280735919965,0.149002572456538,0.8860309948902191
ios_stranger,delta_accuracy,57,0.17617543480471107,0.18988879283210927,0.009178042612734048,0.314707455317347,0.8860309948902191
mspss_total,delta_win_rate,52,0.1840891739688234,0.19141194372037518,0.01168079303431704,0.1311040892949459,0.8860309948902191
tei_selfcontrol,delta_ttc_reach_rate,54,0.1803517381693439,0.19188277976849039,0.041536318349150315,0.23650447546608136,0.8860309948902191
speed_composite,delta_accuracy,56,-0.17570363395000474,0.19521897674675553,-0.015900563757991915,0.3027711639697488,0.8860309948902191
scaared_gad,delta_beta_hb,55,0.17725178324807858,0.1954513474889644,0.03196409458904623,0.1610298543121094,0.8860309948902191
ffmq_observe,delta_p_stay_win,57,-0.17366405465313703,0.19638156582826868,-0.051443239949136514,0.009474758389796245,0.8860309948902191
panas_pre_positive,delta_ttc_censored,57,-0.17318552937813314,0.19763643885343388,-0.10824556416474741,0.054520866498978846,0.8860309948902191
bsmas_total,delta_beta_hb,57,0.17276834169524535,0.19873510823214563,0.030638562004031974,0.35701960547749734,0.8860309948902191
ios_stranger,delta_p_shift_lose,57,-0.17220855856745812,0.20021611593996563,-0.014690097566683453,0.20903760752243056,0.8860309948902191
speed_reduced,delta_accuracy,56,-0.1733573576714898,0.20134540337541856,-0.01208023832485438,0.3946458942090164,0.8860309948902191
panas_pre_negative,delta_beta_hb,57,0.1702439852966282,0.20547571259657088,0.015259819585111443,0.7031100754975678,0.8860309948902191
susd_depression,delta_p_stay_win,57,-0.1699350574780052,0.20631158209561426,-0.002803237814108967,0.43246068485485223,0.8860309948902191
planfulness_cs,delta_ttc_censored,57,0.16990186336682644,0.20640153843077708,0.10574717288144997,0.8929544927799117,0.8860309948902191
bsmas_total,delta_accuracy,57,0.16953748892695863,0.20739081737977164,0.0052653330362977865,0.08782609443329753,0.8860309948902191
aq_total,delta_alpha_hb,55,0.17163127336219636,0.21022854274341224,0.004239957370530004,0.13963827189958608,0.8860309948902191
ef_reduced,delta_ttc_censored,54,0.17285767186036227,0.21131731121939837,0.42551547309632887,0.43862064942877144,0.8860309948902191
ef_reduced,delta_win_rate,54,-0.17271497138463496,0.21170030728871464,-0.0011117630388182056,0.9246925110915571,0.8860309948902191
eros_ext_improving,delta_ttc_censored,57,0.16793949173548242,0.2117688873753145,0.5553090309033778,0.27509945710049444,0.8860309948902191
tei_total,delta_alpha_hb,54,-0.17201309262707098,0.21359117991991203,-0.03719685057596826,0.12917983480634013,0.8860309948902191
theta_median,delta_alpha_hb,53,0.17365732828460334,0.21365698174565584,0.001743334797651715,0.27527917672821417,0.8860309948902191
present_bias_5wk,delta_accuracy,57,-0.1667571430694033,0.2150497273083174,-0.008639780274969948,0.18936376589574222,0.8860309948902191
present_bias_9wk,delta_p_shift_lose,57,-0.16675038921148938,0.21506856998062002,-0.0123415749342752,0.2222914677879734,0.8860309948902191
kbit_iq,delta_alpha_hb,55,-0.16796055458899836,0.22029341206708686,-0.002087535349001498,0.17106231458534416,0.8953200360767524
planfulness_mf,delta_alpha_hb,57,-0.16444901879665622,0.2215566922904261,-0.04840468654588095,0.13462735593267697,0.8953200360767524
aq_communication,delta_beta_hb,55,-0.1668504740720188,0.22340222022302084,-0.0827389873369295,0.23202454086674837,0.8953200360767524
mspss_friends,delta_p_stay_win,52,-0.17145367133556788,0.2242368789053094,-0.008290806702857048,0.533448996590738,0.8953200360767524
mspss_significant_other,delta_ttc_reach_rate,52,-0.17124662721123612,0.22480534387797058,-0.02091520492887177,0.2884310316284978,0.8953200360767524
spsrq_sp,delta_p_shift_lose,54,-0.1667776722327778,0.2280691953169709,-0.002586938072742982,0.19932242845150952,0.8953200360767524
memory_composite,delta_accuracy,57,-0.16215667082376414,0.2281537264977798,-0.016135779984471355,0.26513963677050717,0.8953200360767524
spsrq_sr,delta_ttc_reach_rate,54,0.16646788278285088,0.22894664558223146,0.004005869081149614,0.4218752497287485,0.8953200360767524
tei_wellbeing,delta_ttc_censored,54,-0.1664366079788815,0.22903535806614597,-0.5729644985782519,0.15377500149790058,0.8953200360767524
scaared_separation,delta_beta_hb,55,0.16325511077782445,0.2336798923292099,0.08711818769898716,0.15623569221191222,0.8996467036695426
ffmq_total,delta_beta_hb,57,-0.16024305368018946,0.23376406059507576,-0.40757685203281485,0.17066194083187783,0.8996467036695426
bpsqi_global,delta_win_rate,57,-0.16014128728381274,0.23406505807681416,-0.00015963848276638343,0.96575637359909,0.8996467036695426
spsrq_sp,delta_win_rate,54,-0.16308939308916176,0.23866750980519946,-0.0008950605536204622,0.3742810894560453,0.906484096265262
nbs_total,delta_win_rate,57,-0.15802928960103804,0.24037211755192492,0.0012065383762779186,0.9220965509589042,0.906484096265262
set_shifting_score,delta_ttc_censored,54,0.16236696130451267,0.24078230213821594,0.5403628182288581,0.19750892106971657,0.906484096265262
gti_score,delta_p_stay_win,52,0.16545451402691702,0.24111422909381242,0.04360660403386361,0.07671648657260038,0.906484096265262
panas_pre_positive,delta_ttc_reach_rate,57,0.1570609243634553,0.2433025269563695,0.004927457121403726,0.21240955648609178,0.9067104337808448
speed_composite,delta_ttc_censored,56,0.15833493310802646,0.2438102183858376,0.5982773245600101,0.1945237195509445,0.9067104337808448
present_bias_9wk,delta_ttc_reach_rate,57,-0.15541543527916085,0.24833780376115225,-0.01818262800719117,0.27015926774615195,0.9141122099075756
aq_communication,delta_ttc_censored,55,-0.1582713258983918,0.24845782449522766,-0.1535578908369892,0.44194341638202445,0.9141122099075756
tei_selfcontrol,delta_beta_hb,54,-0.15893794936697664,0.25099466744034826,-0.1536895609403233,0.3832416469067537,0.9162484366289585
ffmq_describe,delta_p_shift_lose,57,0.15432866773811676,0.25170196878324586,0.01938776651793563,0.344188909154368,0.9162484366289585
har_score,delta_alpha_hb,57,-0.1527982991553894,0.25649152346398973,-0.0010738061498035615,0.7123472884231913,0.9269635486810924
aq_imagination,delta_alpha_hb,55,0.15521770639579371,0.2578196478817765,0.015433357706895565,0.12752301461630483,0.9269635486810924
ios_shared_reward_stranger,delta_win_rate,36,0.19328933956519614,0.25868750195751417,0.006083299130959069,0.23589624278574145,0.9269635486810924
ef_reduced,delta_accuracy,54,-0.15551651736836206,0.2614730112499687,-0.0006838541489120051,0.9703248022646837,0.92890951188072
ffmq_nonjudge,delta_p_shift_lose,57,0.15078223141517486,0.26289454208558855,0.022177775020569654,0.26889240712296947,0.92890951188072
aq_social_skill,delta_p_shift_lose,55,-0.15235390924674014,0.2668128311405419,-0.005534462585357749,0.4572794142799402,0.92890951188072
tei_selfcontrol,delta_win_rate,54,0.151440343534702,0.2743346614443713,0.00806017217832719,0.44449284533622524,0.92890951188072
ef_composite,delta_accuracy,56,-0.14828416298147284,0.2754169696342936,-0.001976868207388533,0.9143120471673575,0.92890951188072
attention_composite,delta_p_stay_win,55,-0.14917147751644602,0.2770497289342991,0.0034440685858724666,0.8799059258460488,0.92890951188072
aq_communication,delta_win_rate,55,-0.1491460445881033,0.27713257164516175,-0.004869544845935984,0.23736845559092234,0.92890951188072
set_shifting_score,delta_alpha_hb,54,-0.15028643185079327,0.27805052832167215,-0.020523136235489993,0.27614186060086965,0.92890951188072
panas_pre_positive,delta_p_stay_win,57,0.1458546285327942,0.27899305063951785,0.0016780676211497108,0.42273404858614816,0.92890951188072
scaared_total,delta_beta_hb,55,0.14824228944489276,0.28008701765436667,0.010024674863322612,0.3477056439495293,0.92890951188072
ios_shared_reward_stranger,delta_alpha_hb,36,-0.1847982576863329,0.2805942811167931,-0.010642097307681592,0.47611480612864115,0.92890951188072
theta_p95,delta_ttc_censored,53,0.15045697632282445,0.2822133622112294,0.0023869278882132985,0.7367349444959691,0.92890951188072
p95_magnE,delta_beta_hb,57,0.14460520160415538,0.28317637382380706,2.0998488428147883,0.4847118171419904,0.92890951188072
mspss_family,delta_win_rate,52,0.15105457452841886,0.2850970355850554,0.0044875635642217795,0.43650751816725464,0.92890951188072
ios_friend,delta_ttc_reach_rate,57,-0.14297029138802952,0.28871247268012495,-0.01614189551729175,0.4129055771844444,0.92890951188072
gullibility_insensitivity,delta_ttc_reach_rate,57,0.142605686129548,0.2899566982670696,0.03384095577828045,0.22809940168986426,0.92890951188072
ef_reduced,delta_alpha_hb,54,-0.14645417618994885,0.2906290102028142,-0.017289079484028406,0.4828893733264253,0.92890951188072
gullibility_insensitivity,delta_p_shift_lose,57,-0.1423096639946746,0.290969459956759,-0.01612175953519064,0.35289368215190275,0.92890951188072
eros_ext_improving,delta_alpha_hb,57,-0.14209379841901476,0.2917094439038294,-0.01721242016309788,0.46356970320625496,0.92890951188072
theta_median,delta_ttc_censored,53,-0.14620379174938447,0.29619611894192177,-0.024485811733503816,0.48731459319969284,0.92890951188072
