variable,n,r,p,r_young,r_old,band_d,band_p,q
aq_imagination,59,-0.06611315135310811,0.618833566017783,0.003546652186314919,0.16047100935870107,-0.18731406265043982,0.4962197880760949,0.7295059026605588
gullibility_insensitivity,61,0.06468243289094923,0.6204209078701949,-0.043073855358455246,0.2020075550804455,0.06816396743569457,0.7987447406081652,0.7295059026605588
mspss_friends,56,-0.06580551395439566,0.6299057742015117,0.001725382547211128,-0.062380454931667995,-0.10999417054499329,0.6927431450493686,0.7326078026039321
theta_p75,56,0.061632424652095036,0.6518152686811609,-0.5384718970229863,-0.006881700591575689,0.25571448021339355,0.3560553912209724,0.7499379972998304
sham_ttc_censored,61,-0.0570708582146596,0.6622036872799681,-0.3585311092573067,0.07516353894780663,-0.05271627135763703,0.8441338723515627,0.7537850482867723
sham_beta_hb,57,0.04452138488719708,0.7422725463679102,0.10980496998984479,0.12796015155704032,0.04631443797951983,0.8663756416813999,0.831525992439594
sham_alpha_hb,57,0.04384744232190311,0.7460420119084208,-0.019607260964467695,0.17830561833255665,0.007145379248629719,0.9793858426971318,0.831525992439594
sham_persev_errors,61,0.03455324353363928,0.791498394528401,-0.2877312425934585,0.047280946243783484,0.143022492869897,0.5945615375535989,0.8723618458117187
ffmq_total,61,0.03215332410788875,0.8056870163174511,0.12332292447169294,-0.19255225573593657,0.12785959847560266,0.6317569685819308,0.8723618458117187
gullibility_total,61,0.031908417347236685,0.8071385302370108,-0.10729669331714589,0.18705217302377894,0.024007811590552063,0.9286846997527305,0.8723618458117187
planfulness_total,61,0.028035688464956007,0.8301743883914771,0.12977585229812638,-0.20823854086858457,0.12281136566381487,0.6463374723720041,0.8882865955788805
sham_p_shift_lose,61,-0.019584124290066805,0.8809169896826893,0.04152616631273974,0.051059973732827696,-0.09935713915464149,0.7099731955684065,0.9261266744493655
theta_p95,56,-0.020143836923255595,0.8828497270451895,0.4297859039207441,-0.0345645815994893,-0.12161382034651354,0.660437484740904,0.9261266744493655
ffmq_describe,61,-0.01579700189378327,0.9038228462548392,0.28255435146755276,-0.23597159753306754,0.011721499460808226,0.9649148216871659,0.9318780949036494
sham_beta_sd_hb,57,0.016036758782588603,0.9057506716820517,0.018803202945876826,-0.1400648346371836,0.09361886748671919,0.7346356440931402,0.9318780949036494
sham_rt_post_loss,61,0.012390492306531824,0.9244940081217418,0.23524533131791658,-0.09308095500008563,0.01946082215037502,0.941202676469793,0.9421034178002511
sham_accuracy,61,0.00776491576105881,0.9526397523036881,0.22843423032740665,0.13809062095979027,-0.07196248817090459,0.7872559183921785,0.9616269197782512
har_score,61,-0.002159796291940616,0.9868198767828923,0.07378596711662957,0.0700514878497909,-0.053999499935291455,0.8376192253602631,0.9868198767828923
