subject_id,hemi,parcel,n_vert,surf_area,gray_vol,thick_avg,thick_std,mean_curv,gaus_curv,fold_ind,curv_ind
10541,lh,precentral,9013,5481.0,12202.0,2.145,0.692,0.102,0.021,67.0,8.2
10541,lh,precuneus,6191,4254.0,10215.0,2.262,0.609,0.129,0.028,71.0,7.4
10541,lh,rostralanteriorcingulate,1703,1184.0,3416.0,2.493,0.79,0.12,0.023,21.0,1.6
10541,lh,rostralmiddlefrontal,9867,6579.0,15373.0,2.158,0.535,0.125,0.027,105.0,11.1
10541,lh,superiorfrontal,12346,8284.0,24663.0,2.605,0.682,0.12,0.025,120.0,12.8
10541,lh,superiorparietal,9348,6094.0,14487.0,2.123,0.642,0.116,0.025,88.0,9.9
10541,lh,superiortemporal,6601,4127.0,11357.0,2.501,0.639,0.092,0.016,50.0,4.2
10541,lh,supramarginal,7497,4972.0,11514.0,2.191,0.558,0.112,0.02,68.0,6.6
10541,lh,frontalpole,489,360.0,1022.0,2.255,0.553,0.16,0.03,9.0,0.6
10541,lh,temporalpole,757,507.0,2484.0,3.349,0.621,0.111,0.025,8.0,0.8
10541,lh,transversetemporal,747,425.0,931.0,2.131,0.405,0.124,0.023,9.0,0.8
10541,lh,insula,3613,2420.0,6886.0,2.793,0.836,0.115,0.035,38.0,5.2
10541,rh,bankssts,1480,975.0,1895.0,2.183,0.422,0.096,0.014,7.0,1.0
10541,rh,caudalanteriorcingulate,1614,1092.0,2813.0,2.239,0.904,0.116,0.019,22.0,1.4
10541,rh,caudalmiddlefrontal,3489,2209.0,5655.0,2.392,0.492,0.101,0.02,25.0,2.9
10541,rh,cuneus,3268,2158.0,4146.0,1.744,0.572,0.138,0.029,42.0,4.3
10541,rh,entorhinal,723,459.0,1995.0,2.816,1.005,0.105,0.017,5.0,0.5
10541,rh,fusiform,5895,4099.0,11882.0,2.569,0.642,0.127,0.027,69.0,6.8
10541,rh,inferiorparietal,11496,7167.0,16674.0,2.247,0.562,0.107,0.023,102.0,11.1
10541,rh,inferiortemporal,5664,3771.0,12005.0,2.762,0.621,0.112,0.025,62.0,5.6
10541,rh,isthmuscingulate,1115,715.0,1642.0,2.082,0.802,0.115,0.024,14.0,1.1
10541,rh,lateraloccipital,10369,6916.0,13732.0,1.918,0.56,0.136,0.03,117.0,14.1
10541,rh,lateralorbitofrontal,4398,3009.0,7927.0,2.583,0.675,0.126,0.028,50.0,5.1
10541,rh,lingual,4270,2812.0,5105.0,1.653,0.598,0.124,0.029,44.0,5.5
10541,rh,medialorbitofrontal,3512,2490.0,6380.0,2.321,0.698,0.126,0.023,49.0,3.6
10541,rh,middletemporal,5494,3606.0,11497.0,2.731,0.733,0.107,0.023,52.0,5.2
10541,rh,parahippocampal,1017,635.0,1872.0,2.627,0.822,0.094,0.017,7.0,0.6
10541,rh,paracentral,2731,1776.0,4442.0,2.372,0.648,0.116,0.026,23.0,3.1
10541,rh,parsopercularis,2079,1347.0,3395.0,2.397,0.517,0.108,0.02,16.0,1.9
10541,rh,parsorbitalis,1199,809.0,2778.0,2.879,0.637,0.134,0.031,15.0,1.5
10541,rh,parstriangularis,2725,1816.0,4164.0,2.107,0.535,0.12,0.021,26.0,2.6
10541,rh,pericalcarine,2799,1888.0,2764.0,1.608,0.451,0.12,0.027,30.0,3.1
10541,rh,postcentral,7258,4439.0,9795.0,1.999,0.663,0.096,0.019,55.0,5.5
10541,rh,posteriorcingulate,2175,1560.0,4011.0,2.263,0.724,0.14,0.027,33.0,2.6
10541,rh,precentral,9000,5430.0,12000.0,2.139,0.652,0.098,0.02,62.0,7.7
10541,rh,precuneus,6809,4665.0,10856.0,2.262,0.608,0.121,0.025,69.0,7.2
10541,rh,rostralanteriorcingulate,910,668.0,1922.0,2.629,0.768,0.141,0.033,14.0,1.4
10541,rh,rostralmiddlefrontal,10626,7255.0,16396.0,2.076,0.529,0.123,0.024,117.0,10.7
10541,rh,superiorfrontal,13307,8793.0,24859.0,2.545,0.633,0.117,0.024,125.0,13.0
10541,rh,superiorparietal,9947,6299.0,13626.0,1.991,0.623,0.114,0.025,99.0,10.6
10541,rh,superiortemporal,6435,3875.0,11107.0,2.576,0.675,0.091,0.018,46.0,4.7
10541,rh,supramarginal,6471,4183.0,9743.0,2.205,0.568,0.11,0.022,64.0,6.0
10541,rh,frontalpole,518,387.0,1033.0,2.248,0.46,0.148,0.035,8.0,0.7
10541,rh,temporalpole,607,426.0,1986.0,3.307,0.813,0.118,0.03,5.0,0.7
10541,rh,transversetemporal,692,387.0,1014.0,2.294,0.368,0.114,0.016,8.0,0.4
10541,rh,insula,3171,2133.0,6396.0,2.913,0.916,0.116,0.023,28.0,3.2
10559,lh,bankssts,1621,1064.0,2311.0,2.296,0.409,0.083,0.012,9.0,0.8
10559,lh,caudalanteriorcingulate,940,611.0,1539.0,2.197,0.711,0.121,0.014,12.0,0.7
10559,lh,caudalmiddlefrontal,3311,2196.0,6282.0,2.641,0.473,0.111,0.021,31.0,2.8
10559,lh,cuneus,2539,1712.0,3288.0,1.856,0.487,0.133,0.029,31.0,3.3
10559,lh,entorhinal,717,439.0,1871.0,2.992,0.869,0.098,0.028,7.0,0.7
10559,lh,fusiform,5396,3655.0,11870.0,2.745,0.658,0.12,0.024,64.0,5.1
10559,lh,inferiorparietal,6948,4646.0,13428.0,2.595,0.504,0.111,0.018,73.0,5.5
10559,lh,inferiortemporal,5274,3550.0,10927.0,2.617,0.735,0.105,0.018,55.0,3.9
10559,lh,isthmuscingulate,1637,1066.0,2999.0,2.381,0.797,0.121,0.025,21.0,1.6
10559,lh,lateraloccipital,8598,5664.0,12802.0,2.115,0.528,0.126,0.024,97.0,9.3
10559,lh,lateralorbitofrontal,4128,2795.0,8332.0,2.686,0.666,0.122,0.024,53.0,4.1
10559,lh,lingual,4657,3232.0,6766.0,1.909,0.616,0.136,0.028,58.0,5.9
10559,lh,medialorbitofrontal,2677,1877.0,5444.0,2.53,0.804,0.138,0.032,46.0,3.6
10559,lh,middletemporal,4781,3277.0,11062.0,2.674,0.741,0.113,0.02,59.0,3.9
10559,lh,parahippocampal,905,567.0,1669.0,2.513,0.71,0.078,0.013,4.0,0.5
10559,lh,paracentral,2246,1389.0,4055.0,2.564,0.544,0.09,0.016,13.0,1.6
10559,lh,parsopercularis,2222,1460.0,3925.0,2.409,0.442,0.1,0.018,19.0,1.5
10559,lh,parsorbitalis,1097,733.0,2538.0,2.584,0.663,0.12,0.023,16.0,1.0
10559,lh,parstriangularis,2309,1537.0,3638.0,2.091,0.555,0.101,0.016,21.0,1.5
10559,lh,pericalcarine,2135,1445.0,1928.0,1.537,0.397,0.127,0.028,21.0,2.7
10559,lh,postcentral,6652,4274.0,9225.0,1.967,0.585,0.106,0.017,60.0,5.3
10559,lh,posteriorcingulate,1606,1049.0,2788.0,2.386,0.777,0.12,0.019,19.0,1.2
10559,lh,precentral,7707,4796.0,14153.0,2.625,0.607,0.098,0.018,58.0,5.8
10559,lh,precuneus,6390,4271.0,11928.0,2.528,0.541,0.114,0.02,69.0,5.5
10559,lh,rostralanteriorcingulate,1131,784.0,2527.0,2.905,0.853,0.122,0.028,14.0,1.3
10559,lh,rostralmiddlefrontal,9280,6446.0,15798.0,2.175,0.579,0.121,0.024,110.0,9.3
10559,lh,superiorfrontal,11168,7327.0,24052.0,2.782,0.687,0.114,0.023,109.0,10.5
10559,lh,superiorparietal,8675,5697.0,15469.0,2.347,0.593,0.116,0.021,89.0,7.6
10559,lh,superiortemporal,6470,4195.0,12450.0,2.579,0.656,0.096,0.015,56.0,4.1
10559,lh,supramarginal,6578,4503.0,12503.0,2.522,0.52,0.117,0.022,74.0,5.9
10559,lh,frontalpole,328,246.0,947.0,2.981,0.599,0.173,0.048,7.0,0.6
10559,lh,temporalpole,587,436.0,2521.0,3.508,0.961,0.133,0.029,8.0,0.7
10559,lh,transversetemporal,808,493.0,1214.0,2.244,0.391,0.113,0.018,8.0,0.5
10559,lh,insula,3375,2267.0,6817.0,2.988,0.757,0.116,0.029,32.0,4.0
10559,rh,bankssts,1415,931.0,2173.0,2.421,0.472,0.093,0.016,8.0,0.9
10559,rh,caudalanteriorcingulate,1470,995.0,2692.0,2.254,0.67,0.115,0.017,19.0,1.1
10559,rh,caudalmiddlefrontal,4528,2826.0,8508.0,2.691,0.644,0.095,0.017,30.0,3.3
10559,rh,cuneus,2809,1834.0,3607.0,1.855,0.515,0.128,0.023,36.0,3.0
10559,rh,entorhinal,689,436.0,1650.0,2.913,0.841,0.101,0.024,5.0,0.6
10559,rh,fusiform,5189,3428.0,10525.0,2.631,0.62,0.115,0.021,56.0,4.5
10559,rh,inferiorparietal,6991,4660.0,13627.0,2.557,0.522,0.106,0.017,76.0,5.0
10559,rh,inferiortemporal,4928,3300.0,10761.0,2.7,0.711,0.104,0.019,52.0,4.0
10559,rh,isthmuscingulate,1331,871.0,2480.0,2.465,0.778,0.118,0.024,15.0,1.2
10559,rh,lateraloccipital,9895,6436.0,15453.0,2.182,0.55,0.118,0.022,104.0,9.1
10559,rh,lateralorbitofrontal,3431,2397.0,7206.0,2.724,0.76,0.125,0.028,37.0,4.1
10559,rh,lingual,3695,2592.0,5802.0,2.047,0.619,0.145,0.035,51.0,5.6
10559,rh,medialorbitofrontal,2616,1801.0,5096.0,2.403,0.805,0.115,0.023,35.0,2.3
10559,rh,middletemporal,5689,3757.0,12945.0,2.733,0.718,0.101,0.017,52.0,4.3
10559,rh,parahippocampal,1040,631.0,1883.0,2.544,0.825,0.072,0.01,6.0,0.4
10559,rh,paracentral,2095,1329.0,3644.0,2.456,0.491,0.103,0.016,17.0,1.4
10559,rh,parsopercularis,2806,1857.0,5217.0,2.603,0.534,0.111,0.018,27.0,2.4
10559,rh,parsorbitalis,1211,853.0,2787.0,2.541,0.61,0.12,0.021,14.0,1.1
10559,rh,parstriangularis,2382,1639.0,4203.0,2.241,0.577,0.107,0.019,21.0,1.9
10559,rh,pericalcarine,2433,1646.0,2193.0,1.514,0.444,0.12,0.025,23.0,2.7
10559,rh,postcentral,4724,3139.0,8884.0,2.441,0.532,0.116,0.02,53.0,4.1
10559,rh,posteriorcingulate,1646,1117.0,3049.0,2.439,0.759,0.123,0.021,21.0,1.4
10559,rh,precentral,7493,4626.0,10011.0,2.044,0.615,0.101,0.018,61.0,6.0
10559,rh,precuneus,6096,4065.0,10917.0,2.509,0.472,0.108,0.019,60.0,4.9
10559,rh,rostralanteriorcingulate,1049,757.0,2330.0,2.546,0.675,0.128,0.028,18.0,1.0
10559,rh,rostralmiddlefrontal,11093,7613.0,21031.0,2.37,0.621,0.119,0.025,134.0,11.4
10559,rh,superiorfrontal,12800,8184.0,25652.0,2.738,0.571,0.11,0.022,112.0,11.7
10559,rh,superiorparietal,5443,3615.0,9584.0,2.34,0.596,0.117,0.02,59.0,4.5
10559,rh,superiortemporal,5706,3659.0,11213.0,2.677,0.668,0.095,0.015,46.0,3.5
10559,rh,supramarginal,3836,2594.0,6667.0,2.436,0.494,0.118,0.022,40.0,3.5
10559,rh,frontalpole,409,295.0,1321.0,2.798,0.766,0.143,0.033,12.0,0.4
10559,rh,temporalpole,693,510.0,2805.0,3.79,0.741,0.135,0.028,10.0,0.8
10559,rh,transversetemporal,652,407.0,950.0,2.153,0.398,0.115,0.018,7.0,0.4
10559,rh,insula,3368,2201.0,7120.0,3.208,0.783,0.099,0.021,24.0,2.7
10589,lh,bankssts,1116,726.0,1802.0,2.504,0.448,0.082,0.012,5.0,0.5
10589,lh,caudalanteriorcingulate,969,698.0,1790.0,2.376,0.556,0.141,0.023,16.0,1.0
10589,lh,caudalmiddlefrontal,3330,2159.0,6152.0,2.634,0.469,0.093,0.015,22.0,2.1
10589,lh,cuneus,2569,1769.0,3451.0,1.854,0.497,0.14,0.028,32.0,3.3
10589,lh,entorhinal,665,403.0,1941.0,3.218,0.958,0.103,0.037,15.0,0.9
10589,lh,fusiform,5188,3333.0,10801.0,2.815,0.596,0.105,0.018,44.0,3.9
