subject_id,sham_alpha,sham_alpha_sd,active_alpha,active_alpha_sd,sham_beta,sham_beta_sd,active_beta,active_beta_sd,delta_alpha,delta_beta
11036,0.7398133,0.23523651,0.7111827,0.29466665,1.1773955,0.48874402,0.7715032,0.41438705,-0.028630614,-0.40589225
11075,0.9144729,0.073165916,0.94680953,0.055538755,3.8926482,0.63485074,2.608375,0.43308815,0.032336652,-1.2842731
11116,0.2744091,0.089830324,0.5984187,0.12939279,3.3708115,0.84157234,2.6494036,0.4976728,0.32400963,-0.7214079
11168,0.490533,0.37192655,0.32589296,0.2587529,0.9425688,0.9819918,2.088045,0.99429196,-0.16464004,1.1454761
11286,0.22096533,0.07714409,0.29368892,0.11556991,6.962047,1.1874804,4.5629954,1.1090341,0.0727236,-2.3990517
11316,0.70672745,0.184857,0.851395,0.13918655,1.7313819,0.4405603,0.897563,0.2629117,0.14466757,-0.8338189
11318,0.8880956,0.13477087,0.8755716,0.16219898,1.0194414,0.28038764,0.72204655,0.2533491,-0.012524009,-0.2973948
11326,0.86779314,0.10342184,0.9561117,0.040432632,3.0001225,0.5008333,4.239588,0.72631633,0.08831859,1.2394652
11329,0.77025914,0.15286463,0.89647734,0.09254322,2.3326268,0.57153726,2.0049336,0.5021997,0.1262182,-0.32769322
11330,0.42120472,0.16554418,0.59787154,0.17741671,4.400355,1.0367754,2.1230617,0.67154545,0.17666683,-2.2772932
11461,0.7823144,0.12508884,0.62173146,0.11298461,2.6796172,0.4791002,4.3869104,0.74553925,-0.16058296,1.7072933
11526,0.37236944,0.06306246,0.3692361,0.06524813,6.216251,0.872337,5.777049,0.8023604,-0.0031333268,-0.43920183
11539,0.959673,0.047998294,0.9642276,0.04636253,2.7315004,0.43518466,2.845778,0.46754152,0.0045546293,0.1142776
11542,0.9628967,0.04996561,0.9799557,0.025993377,3.1116443,0.4855375,4.7527084,0.89095664,0.017058969,1.6410642
11563,0.33101162,0.32284474,0.41151685,0.21888995,1.3409609,1.1102018,1.6191089,0.70949835,0.08050522,0.27814806
11570,0.41808543,0.10042082,0.08634272,0.15271269,5.134504,0.84077805,2.5632048,1.5187757,-0.3317427,-2.571299
11622,0.17894498,0.31979394,0.1803722,0.31763688,1.6052563,1.494339,1.589837,1.4604671,0.0014272183,-0.015419364
11628,0.25691643,0.26121533,0.6532692,0.148018,1.5879983,1.0472441,2.4191582,0.4821536,0.39635274,0.83115995
11631,0.9810403,0.024633165,0.9836899,0.022211,5.2104864,1.0049344,4.0578866,0.7272195,0.0026496053,-1.1525998
11681,0.8075995,0.119319506,0.66316843,0.1395007,1.7425076,0.34966516,3.1759524,0.6604239,-0.14443105,1.4334449
11854,0.95359516,0.05014629,0.94704103,0.059586238,3.9050078,0.6727028,3.0641603,0.51350355,-0.0065541267,-0.8408475
11861,0.93696445,0.09075561,0.96207935,0.05299574,1.3239197,0.3193867,1.376488,0.3079359,0.025114894,0.052568316
11885,0.9718677,0.03314119,0.9676277,0.04307834,4.599546,0.80666876,2.924178,0.47021583,-0.0042399764,-1.6753681
11900,0.60117894,0.10249665,0.5043089,0.10897567,3.7709675,0.5981469,3.6850648,0.65296197,-0.096870065,-0.08590269
11920,0.30111113,0.16289581,0.70062137,0.19622268,2.5198107,0.9158314,1.7548966,0.6875194,0.39951023,-0.76491404
