subject_id,sham_beta,sham_beta_sd,active_beta,active_beta_sd,sham_alpha_pos,sham_alpha_pos_sd,active_alpha_pos,active_alpha_pos_sd,sham_alpha_neg,sham_alpha_neg_sd,active_alpha_neg,active_alpha_neg_sd,delta_beta
11030,4.517805,0.7780096,2.874458,0.47598663,0.93857217,0.08028402,0.9496477,0.06641078,0.97988856,0.028760912,0.97922033,0.033023313,-1.643347
11031,1.4990447,0.34357452,2.8055494,0.4777045,0.94812524,0.06269316,0.9434517,0.072409935,0.86417496,0.16762038,0.9318378,0.080501236,1.3065047
11036,1.7539908,0.8410453,0.9641999,0.4798161,0.45357665,0.26161858,0.44223553,0.29406172,0.90509486,0.15592863,0.87554157,0.20268074,-0.78979087
11075,4.420327,0.8105381,2.9968998,0.65097046,0.6944127,0.14748402,0.7261797,0.18308409,0.96794623,0.044593796,0.9709718,0.042813756,-1.4234273
11116,3.4014883,1.0035044,3.3682005,0.67508894,0.42046088,0.24697253,0.7481085,0.16544469,0.31049857,0.20088167,0.33979705,0.1362816,-0.033287764
11168,0.7358689,0.62114775,1.8492961,1.0534502,0.5285166,0.32554817,0.42447534,0.2887027,0.58979625,0.36889818,0.5397228,0.35419872,1.1134272
11286,7.473912,1.0648185,8.138654,1.3128302,0.8496438,0.1451372,0.8745935,0.1136648,0.14035119,0.04085309,0.124106936,0.03592049,0.664742
11316,3.506454,0.77729213,1.3685651,0.7630733,0.9444716,0.06565672,0.9268958,0.11061882,0.11448136,0.08092475,0.42947266,0.3115489,-2.137889
11318,1.1178075,0.32039067,0.7575855,0.26663753,0.7177413,0.19721305,0.73146075,0.2176654,0.94666034,0.089436956,0.9157571,0.13819517,-0.36022198
11326,4.200304,0.89977276,5.363709,1.104318,0.4786803,0.15475701,0.65343475,0.15383075,0.96504813,0.049534254,0.9797133,0.02887465,1.163405
11329,4.4590797,1.3711877,3.9834487,1.2849231,0.30506983,0.13713525,0.35819212,0.15894864,0.949153,0.073804654,0.97570944,0.0370953,-0.475631
11330,6.4808717,0.97167075,6.1310277,0.9439158,0.276489,0.11175873,0.120607845,0.06352292,0.1449021,0.050774902,0.009874646,0.008089707,-0.34984398
11439,0.64605916,0.5631273,0.71063024,0.64049417,0.52913886,0.35244676,0.5305428,0.35177353,0.583015,0.41962516,0.55951595,0.41410393,0.06457108
11461,3.5434422,0.732528,4.3672433,0.76334405,0.93077826,0.07127873,0.88401353,0.12384308,0.40607852,0.1542521,0.49145374,0.13802889,0.82380104
11472,3.9642696,1.3043993,4.001736,1.2161607,0.057793166,0.03447943,0.101586685,0.058164984,0.0027848566,0.0046349703,0.0020743802,0.0026634648,0.037466526
11526,6.533973,0.9504669,6.0381722,0.95867324,0.4256548,0.08452326,0.35125345,0.10133348,0.32205382,0.07977581,0.38393643,0.07814704,-0.49580097
11539,2.787556,0.46153745,2.9160347,0.48545033,0.9589461,0.048411213,0.9418164,0.08149016,0.9075204,0.11634311,0.95328474,0.055690955,0.12847877
11542,3.1934931,0.50681674,4.9822383,0.9824665,0.95003736,0.058025,0.9445838,0.07036192,0.93952703,0.08716404,0.97684693,0.031108195,1.7887452
11563,1.7803452,1.1982839,2.1467085,0.95627207,0.5345544,0.2936786,0.5238523,0.22669166,0.24253513,0.32101843,0.2582082,0.26906297,0.3663633
11570,4.8181705,0.7774539,1.135919,0.8631149,0.8165112,0.17323619,0.7418146,0.2883739,0.3403446,0.10169125,0.14387567,0.20423524,-3.6822515
11622,0.88360244,0.94438004,0.5870564,0.7313454,0.46222177,0.39214474,0.46029827,0.38833565,0.44107196,0.42927396,0.41835374,0.42627954,-0.29654604
11628,1.3472819,0.7339165,2.9352894,0.7816708,0.7745548,0.2384299,0.8516404,0.15184702,0.18178484,0.25252205,0.3904578,0.2261558,1.5880075
11631,5.504653,1.0758661,4.201042,0.7583036,0.93304604,0.08263187,0.9465514,0.06157893,0.9855616,0.021375883,0.9848826,0.023822675,-1.3036108
11681,2.4633348,0.5609858,3.3771188,0.7169671,0.49617946,0.13956662,0.6208793,0.15815532,0.90965927,0.078438126,0.6753552,0.2047433,0.913784
11854,4.4284735,0.89133996,3.2621212,0.5550497,0.7876256,0.15052658,0.81385696,0.13023335,0.974076,0.03770028,0.9679227,0.049539752,-1.1663523
11861,1.3933542,0.40085745,1.3801938,0.3182675,0.87145096,0.16286698,0.9070356,0.114114515,0.95263493,0.07722588,0.95760876,0.06884707,-0.013160348
11885,4.858507,0.9078949,3.0266783,0.5174868,0.88874304,0.119857945,0.89984894,0.10940085,0.97877485,0.029439323,0.96932834,0.048888437,-1.8318288
11900,3.5325558,0.52699745,4.144911,0.70120126,0.92447907,0.09292305,0.9383124,0.069510244,0.5421135,0.110788815,0.29112437,0.0788087,0.612355
11920,3.4791136,0.70511305,4.6369085,0.869611,0.5829522,0.19100322,0.5702529,0.15148014,0.037662875,0.041731045,0.013131,0.0121527985,1.157795
