variable,table,domain,description,source,producer,role,status,hypotheses,expected_missing,missing_note,notes
parcel_n_vert,efield,efield,Vertices in DLPFC parcel,SimNIBS 4.6 head models (charm) + FEM simulation,simNIBS repo: scripts/extract_efield_parcel.py,qc,current,,,,
parcel_p95_magnE,efield,efield,p95 |E| over DK40 DLPFC parcel (rostral+caudal MFG),SimNIBS 4.6 head models (charm) + FEM simulation,simNIBS repo: scripts/extract_efield_parcel.py,secondary,current,,,,
peak_magnE,efield,efield,Peak |E| in ROI (V/m),SimNIBS 4.6 head models (charm) + FEM simulation,simNIBS repo: scripts/extract_efield_roi.py,secondary,current,,,,
roi_radius_mm,efield,efield,ROI sphere radius (mm),SimNIBS 4.6 head models (charm) + FEM simulation,simNIBS repo: scripts/extract_efield_roi.py,qc,current,,,,
skull_t1_n_rays,efield,skull,Rays contributing to T1 skull estimate,SimNIBS 4.6 head models (charm) + FEM simulation,simNIBS repo: scripts/extract_skull_t1.py,qc,current,,,,
skull_t1_outer,efield,skull,Outer skull boundary from T1 profile (mm),SimNIBS 4.6 head models (charm) + FEM simulation,simNIBS repo: scripts/extract_skull_t1.py,qc,current,,,,
skull_t1_span,efield,skull,"Skull thickness from T1 intensity profile, independent of charm (mm)",SimNIBS 4.6 head models (charm) + FEM simulation,simNIBS repo: scripts/extract_skull_t1.py,validation,current,,,,External check on layer_skull: r with |E| = -.23 vs -.78 for charm; mediation 18% vs 89%. Computed by skull_circularity.py.
slice_z_mni18,efield,qc,Subject-space z of MNI z=+18 (for Fig 2a slices),SimNIBS 4.6 head models (charm) + FEM simulation,simNIBS repo: scripts/extract_slice_landmark.py,qc,current,,,,
slice_z_spread,efield,qc,Spread of the MNI z=+18 mapping across the slice,SimNIBS 4.6 head models (charm) + FEM simulation,simNIBS repo: scripts/extract_slice_landmark.py,qc,current,,,,
std_magnE,efield,efield,SD of |E| in ROI (V/m),SimNIBS 4.6 head models (charm) + FEM simulation,simNIBS repo: scripts/extract_efield_roi.py,secondary,current,,,,
subject_id,efield,identifier,Participant ID,SimNIBS 4.6 head models (charm) + FEM simulation,simNIBS repo: scripts/extract_efield_roi.py,identifier,current,,,,
t1_only,efield,exclusion,Head model built without FLAIR,SimNIBS 4.6 head models (charm) + FEM simulation,simNIBS repo: scripts/run_pipeline.py -> extract_efield_roi.py,exclusion,current,,,,"7 subjects; excluded everywhere. Differ on CSF (p=.025) and |E| (p=.018), not skull (p=.58)."
brainseg_not_vent,freesurfer,morphometry,Brain segmentation volume excluding ventricles (mm3),"FreeSurfer 7.3.2 recon-all (FREESURFER_ROOT, 2 deliveries)",freesurfer_morph.run,secondary,current,,,,
brainseg_vol,freesurfer,morphometry,Brain segmentation volume (mm3),"FreeSurfer 7.3.2 recon-all (FREESURFER_ROOT, 2 deliveries)",freesurfer_morph.run,secondary,current,,,,
cortex_vol,freesurfer,morphometry,Cortical gray volume (mm3),"FreeSurfer 7.3.2 recon-all (FREESURFER_ROOT, 2 deliveries)",freesurfer_morph.run,secondary,current,,,,
dlpfc_gray_vol,freesurfer,morphometry,DLPFC gray volume (= lh),"FreeSurfer 7.3.2 recon-all (FREESURFER_ROOT, 2 deliveries)",freesurfer_morph.run,secondary,current,,,,
dlpfc_surf_area,freesurfer,morphometry,DLPFC surface area (= lh),"FreeSurfer 7.3.2 recon-all (FREESURFER_ROOT, 2 deliveries)",freesurfer_morph.run,secondary,current,,,,
dlpfc_thickness,freesurfer,morphometry,"DLPFC thickness (= lh, stimulated side)","FreeSurfer 7.3.2 recon-all (FREESURFER_ROOT, 2 deliveries)",freesurfer_morph.run,mechanism,current,,,,"Atrophy measure: r=-.64 with age, but unrelated to |E| once distance is modelled."
etiv,freesurfer,morphometry,Estimated total intracranial volume (Talairach-derived) (mm3),"FreeSurfer 7.3.2 recon-all (FREESURFER_ROOT, 2 deliveries)",freesurfer_morph.run,secondary,current,,,,"Registration-derived, not measured; normalising by it inherits its bias."
fs_delivery,freesurfer,qc,Delivery batch folder,"FreeSurfer 7.3.2 recon-all (FREESURFER_ROOT, 2 deliveries)",freesurfer_morph.run,qc,current,,,,
fs_version,freesurfer,qc,recon-all build stamp,"FreeSurfer 7.3.2 recon-all (FREESURFER_ROOT, 2 deliveries)",freesurfer_morph.run,qc,current,,,,Mixed versions abort the build.
lh_cortex_vol,freesurfer,morphometry,Left cortical gray volume (mm3),"FreeSurfer 7.3.2 recon-all (FREESURFER_ROOT, 2 deliveries)",freesurfer_morph.run,secondary,current,,,,
lh_dlpfc_gray_vol,freesurfer,morphometry,Left DLPFC gray volume (mm3),"FreeSurfer 7.3.2 recon-all (FREESURFER_ROOT, 2 deliveries)",freesurfer_morph.run,secondary,current,,,,
lh_dlpfc_n_vert,freesurfer,qc,Left DLPFC vertex count,"FreeSurfer 7.3.2 recon-all (FREESURFER_ROOT, 2 deliveries)",freesurfer_morph.run,qc,current,,,,
lh_dlpfc_surf_area,freesurfer,morphometry,Left DLPFC surface area (mm2),"FreeSurfer 7.3.2 recon-all (FREESURFER_ROOT, 2 deliveries)",freesurfer_morph.run,secondary,current,,,,
lh_dlpfc_thickness,freesurfer,morphometry,"Left DLPFC thickness, vertex-weighted (mm)","FreeSurfer 7.3.2 recon-all (FREESURFER_ROOT, 2 deliveries)",freesurfer_morph.run,secondary,current,,,,
lh_mean_thickness,freesurfer,morphometry,Left hemisphere mean cortical thickness (mm),"FreeSurfer 7.3.2 recon-all (FREESURFER_ROOT, 2 deliveries)",freesurfer_morph.run,secondary,current,,,,
lh_n_parcels,freesurfer,qc,Left DK parcels found (expect 34),"FreeSurfer 7.3.2 recon-all (FREESURFER_ROOT, 2 deliveries)",freesurfer_morph.run,qc,current,,,,
lh_white_surf_area,freesurfer,morphometry,Left white surface area (mm2),"FreeSurfer 7.3.2 recon-all (FREESURFER_ROOT, 2 deliveries)",freesurfer_morph.run,secondary,current,,,,
mask_vol,freesurfer,morphometry,Brain mask volume (mm3),"FreeSurfer 7.3.2 recon-all (FREESURFER_ROOT, 2 deliveries)",freesurfer_morph.run,secondary,current,,,,
rh_cortex_vol,freesurfer,morphometry,Right cortical gray volume (mm3),"FreeSurfer 7.3.2 recon-all (FREESURFER_ROOT, 2 deliveries)",freesurfer_morph.run,secondary,current,,,,
rh_dlpfc_gray_vol,freesurfer,morphometry,Right DLPFC gray volume (mm3),"FreeSurfer 7.3.2 recon-all (FREESURFER_ROOT, 2 deliveries)",freesurfer_morph.run,secondary,current,,,,
rh_dlpfc_n_vert,freesurfer,qc,Right DLPFC vertex count,"FreeSurfer 7.3.2 recon-all (FREESURFER_ROOT, 2 deliveries)",freesurfer_morph.run,qc,current,,,,
rh_dlpfc_surf_area,freesurfer,morphometry,Right DLPFC surface area (mm2),"FreeSurfer 7.3.2 recon-all (FREESURFER_ROOT, 2 deliveries)",freesurfer_morph.run,secondary,current,,,,
rh_dlpfc_thickness,freesurfer,morphometry,"Right DLPFC thickness, vertex-weighted (mm)","FreeSurfer 7.3.2 recon-all (FREESURFER_ROOT, 2 deliveries)",freesurfer_morph.run,secondary,current,,,,
rh_mean_thickness,freesurfer,morphometry,Right hemisphere mean cortical thickness (mm),"FreeSurfer 7.3.2 recon-all (FREESURFER_ROOT, 2 deliveries)",freesurfer_morph.run,secondary,current,,,,
rh_n_parcels,freesurfer,qc,Right DK parcels found (expect 34),"FreeSurfer 7.3.2 recon-all (FREESURFER_ROOT, 2 deliveries)",freesurfer_morph.run,qc,current,,,,
rh_white_surf_area,freesurfer,morphometry,Right white surface area (mm2),"FreeSurfer 7.3.2 recon-all (FREESURFER_ROOT, 2 deliveries)",freesurfer_morph.run,secondary,current,,,,
subcort_gray_vol,freesurfer,morphometry,Subcortical gray volume (mm3),"FreeSurfer 7.3.2 recon-all (FREESURFER_ROOT, 2 deliveries)",freesurfer_morph.run,secondary,current,,,,
subject_id,freesurfer,identifier,Participant ID,"FreeSurfer 7.3.2 recon-all (FREESURFER_ROOT, 2 deliveries)",freesurfer_morph.run,identifier,current,,,,
supratentorial_notvent_vol,freesurfer,morphometry,Supratentorial volume excluding ventricles (mm3),"FreeSurfer 7.3.2 recon-all (FREESURFER_ROOT, 2 deliveries)",freesurfer_morph.run,secondary,current,,,,
supratentorial_vol,freesurfer,morphometry,Supratentorial volume (mm3),"FreeSurfer 7.3.2 recon-all (FREESURFER_ROOT, 2 deliveries)",freesurfer_morph.run,secondary,current,,,,
surface_holes,freesurfer,morphometry,Surface topological defects before fixing (count),"FreeSurfer 7.3.2 recon-all (FREESURFER_ROOT, 2 deliveries)",freesurfer_morph.run,qc,current,,,,
total_gray_vol,freesurfer,morphometry,Total gray matter volume (mm3),"FreeSurfer 7.3.2 recon-all (FREESURFER_ROOT, 2 deliveries)",freesurfer_morph.run,secondary,current,,,,
ventricle_choroid_vol,freesurfer,morphometry,Ventricle + choroid plexus volume (mm3),"FreeSurfer 7.3.2 recon-all (FREESURFER_ROOT, 2 deliveries)",freesurfer_morph.run,secondary,current,,,,Atrophy marker; tested in fig_atrophy_vs_geometry.
white_matter_vol,freesurfer,morphometry,Cerebral white matter volume (mm3),"FreeSurfer 7.3.2 recon-all (FREESURFER_ROOT, 2 deliveries)",freesurfer_morph.run,secondary,current,,,,
iaf,itf,eeg,"Individual alpha frequency, posterior channels, 1/f removed (Hz)","EEG resting baseline, run 1 (data/nic)",individual_theta.py -> estimate_subject,secondary,current,,,,"0.5 Hz resolution (2 s Welch windows): 26 of 55 at exactly 10.0 Hz. Four at 12-13 Hz, where the peak may not be alpha."
in_dissertation,itf,qc,In the defended N = 39 sample,"EEG resting baseline, run 1 (data/nic)",individual_theta.py -> estimate_subject,qc,current,,,,
itf_distance,itf,eeg,|iTF - 6 Hz|: distance from the stimulation frequency,"EEG resting baseline, run 1 (data/nic)",individual_theta.py -> estimate_subject,moderator,current,7.6 (exploratory),,,Inherits the clipping above: clipped subjects all get 2.0.
itf_klimesch,itf,eeg,"Individual theta frequency = IAF - 5 Hz, clipped to 4-8 Hz","EEG resting baseline, run 1 (data/nic)",individual_theta.py -> estimate_subject,moderator,current,7.6 (exploratory),,,Clipping: the 5 subjects with IAF < 9 Hz sit at exactly 4.0; the two with IAF 13 Hz at 8.0. Inherits IAF resolution.
max_channels,itf,qc,Channels available,"EEG resting baseline, run 1 (data/nic)",individual_theta.py -> estimate_subject,qc,current,,,,
n_iaf_runs,itf,qc,Runs contributing an IAF,"EEG resting baseline, run 1 (data/nic)",individual_theta.py -> estimate_subject,qc,current,,,,
n_theta_runs,itf,qc,Runs contributing a direct theta peak,"EEG resting baseline, run 1 (data/nic)",individual_theta.py -> estimate_subject,qc,current,,,,
runs_used,itf,qc,Runs requested,"EEG resting baseline, run 1 (data/nic)",individual_theta.py -> estimate_subject,qc,current,,,,
subject_id,itf,identifier,Participant ID,"EEG resting baseline, run 1 (data/nic)",individual_theta.py -> estimate_subject,identifier,current,,,,
theta_peak_fcz,itf,eeg,"Direct frontal-midline theta peak, where recorded (Hz)","EEG resting baseline, run 1 (data/nic)",individual_theta.py -> estimate_subject,secondary,current,,enrollment-gated,"Coverage (11/60) skews to later-enrolled subjects by design, not by chance. FCz is one of the four stimulating electrodes, so it records EEG only under the post-defense protocol and only on non-stimulation runs; dissertation-era subjects have 3 usable channels (F4, P4, P3) throughout. This is a validation-only measure for the Klimesch offset and is not used in any reported test.",
active_accuracy,master,behaviour_accuracy,Active session: proportion optimal choices,Bandit task behaviour (data/bandit),accuracy_analysis.compute_condition_level_accuracy -> cognitive_merge.build_subject_df,outcome,current,,by-design,Requires both sessions (H2-eligible subjects only).,
active_alpha,master,behaviour_rl_mle,Active session: RW learning rate (MLE),Bandit task behaviour (data/bandit),rescorla_wagner.fit_rw_by_condition(method=mle) -> cognitive_merge.build_subject_df,outcome,current,,by-design,Requires both sessions (H2-eligible subjects only).,MLE alpha pinned at 0/1 for ~1/3 of subjects; see _hb.
active_alpha_hb,master,behaviour_rl_hb,"Active: RW alpha, hierarchical posterior mean",derivatives/rl_models/rw_within_all_subjects.csv,"rl_models/run_fit.py (fit_within, NumPyro NUTS) -> cognitive_merge.build_subject_df",outcome,current,,by-design,Hierarchical fit restricted to the 55 subjects with both conditions.,
active_alpha_sd_hb,master,behaviour_rl_hb,"Active: RW alpha, posterior SD",derivatives/rl_models/rw_within_all_subjects.csv,"rl_models/run_fit.py (fit_within, NumPyro NUTS) -> cognitive_merge.build_subject_df",qc,current,,by-design,As above.,
active_asymptotic_acc,master,behaviour_derived,Active session: proportion correct in the 5 trials before a reversal (stable-contingency performance),Bandit task behaviour (data/bandit),derived_behaviour.compute_derived_behaviour -> build_master_data -> cognitive_merge.build_subject_df,outcome,current,exploratory,,,Trial column recorded from the first session; unused in the pipeline until 2026-09-22.
active_beta,master,behaviour_rl_mle,Active session: RW inverse temperature (MLE),Bandit task behaviour (data/bandit),rescorla_wagner.fit_rw_by_condition(method=mle) -> cognitive_merge.build_subject_df,outcome,current,,by-design,Requires both sessions (H2-eligible subjects only).,MLE and hierarchical beta disagree (active r=.013); see _hb.
active_beta_hb,master,behaviour_rl_hb,"Active: RW beta, hierarchical posterior mean",derivatives/rl_models/rw_within_all_subjects.csv,"rl_models/run_fit.py (fit_within, NumPyro NUTS) -> cognitive_merge.build_subject_df",outcome,current,,by-design,Hierarchical fit restricted to the 55 subjects with both conditions.,
active_beta_sd_hb,master,behaviour_rl_hb,"Active: RW beta, posterior SD",derivatives/rl_models/rw_within_all_subjects.csv,"rl_models/run_fit.py (fit_within, NumPyro NUTS) -> cognitive_merge.build_subject_df",qc,current,,by-design,As above.,
active_guess_stim_rate,master,behaviour_derived,Active session: proportion of runs the participant said they believed they were being stimulated,Bandit task behaviour (data/bandit),derived_behaviour.score_blinding -> build_master_data -> cognitive_merge.build_subject_df,qc,current,blinding check,,,Blinding integrity. delta_guess_stim_rate is the discrimination index (active - sham).
active_lapse_rate,master,behaviour_derived,Active session: proportion of trials with no response,Bandit task behaviour (data/bandit),derived_behaviour.compute_derived_behaviour -> build_master_data -> cognitive_merge.build_subject_df,outcome,current,exploratory,,,Trial column recorded from the first session; unused in the pipeline until 2026-09-22.
active_n_rt_trials,master,behaviour_derived,Active session: number of trials contributing to the RT measures,Bandit task behaviour (data/bandit),derived_behaviour.compute_derived_behaviour -> build_master_data -> cognitive_merge.build_subject_df,qc,current,exploratory,,,Trial column recorded from the first session; unused in the pipeline until 2026-09-22.
active_p_shift_lose,master,behaviour_wsls,Active session: P(shift | lose),Bandit task behaviour (data/bandit),wsls.compute_wsls_h1_h2 -> cognitive_merge.build_subject_df,outcome,current,,by-design,Requires both sessions (H2-eligible subjects only).,
active_p_stay_win,master,behaviour_wsls,Active session: P(stay | win),Bandit task behaviour (data/bandit),wsls.compute_wsls_h1_h2 -> cognitive_merge.build_subject_df,outcome,current,,by-design,Requires both sessions (H2-eligible subjects only).,
active_persev_errors,master,behaviour_derived,Active session: proportion incorrect in the 5 trials after a reversal (perseveration on the previously-good option),Bandit task behaviour (data/bandit),derived_behaviour.compute_derived_behaviour -> build_master_data -> cognitive_merge.build_subject_df,outcome,current,exploratory,,,Trial column recorded from the first session; unused in the pipeline until 2026-09-22.
active_rt_cv,master,behaviour_derived,Active session: coefficient of variation of response time,Bandit task behaviour (data/bandit),derived_behaviour.compute_derived_behaviour -> build_master_data -> cognitive_merge.build_subject_df,outcome,current,exploratory,,,Trial column recorded from the first session; unused in the pipeline until 2026-09-22.
active_rt_mean,master,behaviour_derived,"Active session: mean response time (ms), trials 200-1990 ms",Bandit task behaviour (data/bandit),derived_behaviour.compute_derived_behaviour -> build_master_data -> cognitive_merge.build_subject_df,outcome,current,H1 baseline; exploratory,,,Trial column recorded from the first session; unused in the pipeline until 2026-09-22.
active_rt_post_error,master,behaviour_derived,"Active session: post-error slowing: mean RT after an incorrect choice minus after a correct one, within run",Bandit task behaviour (data/bandit),derived_behaviour.compute_derived_behaviour -> build_master_data -> cognitive_merge.build_subject_df,outcome,current,exploratory,,,Trial column recorded from the first session; unused in the pipeline until 2026-09-22.
active_rt_post_loss,master,behaviour_derived,"Active session: post-loss slowing: mean RT after an unrewarded trial minus after a rewarded one, within run",Bandit task behaviour (data/bandit),derived_behaviour.compute_derived_behaviour -> build_master_data -> cognitive_merge.build_subject_df,outcome,current,exploratory,,,Trial column recorded from the first session; unused in the pipeline until 2026-09-22.
active_rt_sd,master,behaviour_derived,Active session: SD of response time (ms),Bandit task behaviour (data/bandit),derived_behaviour.compute_derived_behaviour -> build_master_data -> cognitive_merge.build_subject_df,outcome,current,exploratory,,,Trial column recorded from the first session; unused in the pipeline until 2026-09-22.
active_switch_rate,master,behaviour_derived,Active session: proportion of consecutive within-run trials on which the choice changed,Bandit task behaviour (data/bandit),derived_behaviour.compute_derived_behaviour -> build_master_data -> cognitive_merge.build_subject_df,outcome,current,exploratory,,,Trial column recorded from the first session; unused in the pipeline until 2026-09-22.
active_ttc,master,behaviour_accuracy,Active session: mean trials to criterion after a reversal,Bandit task behaviour (data/bandit),reversal_analysis.identify_reversals + compute_trials_to_criterion -> build_master_data -> cognitive_merge.build_subject_df,outcome,current,,by-design,Requires both sessions (H2-eligible subjects only).,"Parameters in config (TTC_CRITERION, REVERSAL_WINDOW_*). Moved from notebook-only to the master build 2026-09-22."
active_ttc_censored,master,behaviour_accuracy,"Active session: mean trials-to-criterion with unsolved reversals filled with the trials available (a lower bound), removing the survivorship bias in the raw mean",Bandit task behaviour (data/bandit),reversal_analysis.compute_trials_to_criterion -> build_master_data -> cognitive_merge.build_subject_df,outcome,current,H2.1; H2.2,,,Primary under TTC_CENSORING = censored. The raw column averages only solved reversals.
active_ttc_reach_rate,master,behaviour_accuracy,Active session: proportion of reversals on which criterion was reached,Bandit task behaviour (data/bandit),reversal_analysis.compute_trials_to_criterion -> build_master_data -> cognitive_merge.build_subject_df,outcome,current,exploratory,,,The quantity the raw TTC mean was silently conditioning on.
active_win_rate,master,behaviour_accuracy,Active session: proportion rewarded trials,Bandit task behaviour (data/bandit),accuracy_analysis.compute_condition_level_accuracy -> cognitive_merge.build_subject_df,outcome,current,,by-design,Requires both sessions (H2-eligible subjects only).,
age,master,demographics,Age in years (self-report),REDCap tACS Bandit export (REDCAP_TACS_PATH),cognitive_merge.extract_demographics,predictor,current,"H1.1, H1.2, H2.2, all age models",,,"Self-report calculated field: (Today's Date - birthdate)/365.25, exact for all 152 REDCap records. 11542 recovered from Participant Date of Birth by the same formula (age_source = dob_fallback). TabCAT DOB is wrong for 10606 and 10741; never use it for age."
age_source,master,demographics,Where age came from: redcap_age (REDCap calculated field) or dob_fallback (same formula from Participant Date of Birth),REDCap tACS Bandit export (REDCAP_TACS_PATH),cognitive_merge.extract_demographics,qc,current,,individual,Missing only where age itself is missing.,
aq_attention_detail,master,survey_exploratory,AQ attention to detail,REDCap RF1 FullScoring export (REDCAP_RF1_PATH),cognitive_merge.load_rf1_exploratory,exploratory,current,,,,
aq_attention_switching,master,survey_exploratory,AQ attention switching,REDCap RF1 FullScoring export (REDCAP_RF1_PATH),cognitive_merge.load_rf1_exploratory,exploratory,current,,,,
aq_communication,master,survey_exploratory,AQ communication,REDCap RF1 FullScoring export (REDCAP_RF1_PATH),cognitive_merge.load_rf1_exploratory,exploratory,current,,,,
aq_imagination,master,survey_exploratory,AQ imagination,REDCap RF1 FullScoring export (REDCAP_RF1_PATH),cognitive_merge.load_rf1_exploratory,exploratory,current,,,,
aq_social_skill,master,survey_exploratory,AQ social skill,REDCap RF1 FullScoring export (REDCAP_RF1_PATH),cognitive_merge.load_rf1_exploratory,exploratory,current,,,,
aq_total,master,survey_exploratory,Autism Quotient total,REDCap RF1 FullScoring export (REDCAP_RF1_PATH),cognitive_merge.load_rf1_exploratory,exploratory,current,,,,
attention_composite,master,cognitive_composite,Legacy attention domain (mean of available z-scores),z-scored cognition columns,cognitive_merge.compute_cognitive_composites,legacy,legacy,,,,Input count varies with age; do not use for new work.
attention_n_measures,master,item_count,Inputs behind attention_composite,derived,cognitive_merge.compute_cognitive_composites,qc,legacy,,,,
audit_total,master,survey_substance,AUDIT alcohol,REDCap RF1 raw export (REDCAP_RF1_RAW_PATH),cognitive_merge.load_rf1_substance_mood,exploratory,current,,enrollment-gated,Collected for early enrollees only (protocol changed). Not recoverable.,
bbs_avg,master,survey_other,BBS mean item score,REDCap tACS Bandit export (REDCAP_TACS_PATH),cognitive_merge.score_bbs,exploratory,unavailable,,,,"PENDING: needs a raw (numeric) REDCap export of the tACS BBS fields. The labels export drops every 2-6 response, so old scores (-6/-1/0) used endpoint answers only. score_bbs refuses a labels export. Also: 7 of 14 bias labels match no column."
bbs_n_items,master,item_count,Items answered for BBS,REDCap tACS Bandit export (REDCAP_TACS_PATH),cognitive_merge.score_bbs,qc,unavailable,,,,See bbs_avg.
bpsqi_disturbance,master,survey_sleep,Brief PSQI component: disturbance,REDCap tACS Bandit export (REDCAP_TACS_PATH),cognitive_merge.score_bpsqi,exploratory,current,,,,
bpsqi_duration,master,survey_sleep,Brief PSQI component: duration,REDCap tACS Bandit export (REDCAP_TACS_PATH),cognitive_merge.score_bpsqi,exploratory,current,,,,
