trial_num,run,run_type,stim_condition,trial_in_contingency,current_good,contingency_trials,flower1,flower2,slot1_position,slot2_position,choice,rt,correct,reward,wait_time,iti,timestamp,trial_start_time,subject_id,session,age,gender,date
51,2,stimulation,active,22,1,29,36,1,right,left,2.0,302.25467681884766,False,False,2000.0,250.0,944.8739233016968,258.4281630516052,1432,1,31,m,2026-01-14_20-43-13
52,2,stimulation,active,23,1,29,36,1,left,right,1.0,1432.2266578674316,True,False,2000.0,250.0,950.5668799877167,264.1211197376251,1432,1,31,m,2026-01-14_20-43-13
53,2,stimulation,active,24,1,29,36,1,right,left,2.0,331.8934440612793,False,False,2000.0,250.0,955.1591019630432,268.7133414745331,1432,1,31,m,2026-01-14_20-43-13
54,2,stimulation,active,25,1,29,36,1,right,left,2.0,330.181360244751,False,False,2000.0,250.0,959.7502872943878,273.30452704429626,1432,1,31,m,2026-01-14_20-43-13
55,2,stimulation,active,26,1,29,36,1,left,right,1.0,620.1131343841553,True,True,2000.0,250.0,964.6309287548065,278.18516850471497,1432,1,31,m,2026-01-14_20-43-13
56,2,stimulation,active,27,1,29,36,1,left,right,1.0,404.4318199157715,True,True,2000.0,250.0,969.2965981960297,282.85083770751953,1432,1,31,m,2026-01-14_20-43-13
57,2,stimulation,active,28,1,29,36,1,left,right,1.0,1475.4667282104492,True,True,2000.0,250.0,975.0328211784363,288.58706045150757,1432,1,31,m,2026-01-14_20-43-13
58,2,stimulation,active,0,2,26,36,1,right,left,2.0,453.0479907989502,True,False,2000.0,250.0,979.7475066184998,293.3017466068268,1432,1,31,m,2026-01-14_20-43-13
59,2,stimulation,active,1,2,26,36,1,left,right,1.0,621.7067241668701,False,False,2000.0,250.0,984.6295864582062,298.18382596969604,1432,1,31,m,2026-01-14_20-43-13
60,2,stimulation,active,2,2,26,36,1,right,left,2.0,236.18531227111816,True,True,2000.0,250.0,989.1263024806976,302.6805419921875,1432,1,31,m,2026-01-14_20-43-13
61,2,stimulation,active,3,2,26,36,1,left,right,1.0,283.98680686950684,False,False,2000.0,250.0,993.6719243526459,307.2261643409729,1432,1,31,m,2026-01-14_20-43-13
62,2,stimulation,active,4,2,26,36,1,left,right,1.0,499.90153312683105,False,False,2000.0,250.0,998.4328048229218,311.9870445728302,1432,1,31,m,2026-01-14_20-43-13
63,2,stimulation,active,5,2,26,36,1,left,right,1.0,817.2600269317627,False,False,2000.0,250.0,1003.5107457637787,317.06498622894287,1432,1,31,m,2026-01-14_20-43-13
64,2,stimulation,active,6,2,26,36,1,left,right,1.0,1964.3142223358154,False,True,2000.0,250.0,1009.7349474430084,323.28918743133545,1432,1,31,m,2026-01-14_20-43-13
65,2,stimulation,active,7,2,26,36,1,left,right,1.0,317.704439163208,False,True,2000.0,250.0,1014.3126268386841,327.8668668270111,1432,1,31,m,2026-01-14_20-43-13
66,2,stimulation,active,8,2,26,36,1,right,left,2.0,417.156457901001,True,True,2000.0,250.0,1018.9898164272308,332.54405641555786,1432,1,31,m,2026-01-14_20-43-13
67,2,stimulation,active,9,2,26,36,1,right,left,2.0,502.6428699493408,True,False,2000.0,250.0,1023.7535388469696,337.3077783584595,1432,1,31,m,2026-01-14_20-43-13
68,2,stimulation,active,10,2,26,36,1,right,left,2.0,283.5578918457031,True,True,2000.0,250.0,1028.2978308200836,341.85207056999207,1432,1,31,m,2026-01-14_20-43-13
69,2,stimulation,active,11,2,26,36,1,right,left,2.0,384.31763648986816,True,True,2000.0,250.0,1032.9433336257935,346.4975733757019,1432,1,31,m,2026-01-14_20-43-13
70,2,stimulation,active,12,2,26,36,1,left,right,1.0,538.8388633728027,False,False,2000.0,250.0,1037.7427706718445,351.29701042175293,1432,1,31,m,2026-01-14_20-43-13
71,2,stimulation,active,13,2,26,36,1,right,left,2.0,283.7531566619873,True,True,2000.0,250.0,1042.2864365577698,355.84067606925964,1432,1,31,m,2026-01-14_20-43-13
72,2,stimulation,active,14,2,26,36,1,left,right,1.0,549.9725341796875,False,False,2000.0,250.0,1047.0969874858856,360.65122723579407,1432,1,31,m,2026-01-14_20-43-13
