trial_num,run,run_type,stim_condition,trial_in_contingency,current_good,contingency_trials,slot1_position,slot2_position,choice,rt,correct,reward,wait_time,iti,timestamp,trial_start_time,subject_id,session,age,gender,date
35,2,theta_stim,theta,10,2,28,left,right,,,,,2000.0,250.0,206.44954180717468,206.44953894615173,9998,1,31,m,2025-08-06_12-01-25
36,2,theta_stim,theta,11,2,28,right,left,,,,,2000.0,250.0,212.22652888298035,212.2265248298645,9998,1,31,m,2025-08-06_12-01-25
37,2,theta_stim,theta,12,2,28,left,right,,,,,2000.0,250.0,218.00127792358398,218.00127506256104,9998,1,31,m,2025-08-06_12-01-25
38,2,theta_stim,theta,13,2,28,left,right,,,,,2000.0,250.0,223.78120875358582,223.78120493888855,9998,1,31,m,2025-08-06_12-01-25
39,2,theta_stim,theta,14,2,28,left,right,,,,,2000.0,250.0,229.56625890731812,229.56625604629517,9998,1,31,m,2025-08-06_12-01-25
40,2,theta_stim,theta,15,2,28,left,right,,,,,2000.0,250.0,235.33975982666016,235.3397560119629,9998,1,31,m,2025-08-06_12-01-25
41,2,theta_stim,theta,16,2,28,left,right,,,,,2000.0,250.0,241.11959385871887,241.11959171295166,9998,1,31,m,2025-08-06_12-01-25
42,2,theta_stim,theta,17,2,28,left,right,,,,,2000.0,250.0,246.90319108963013,246.90318775177002,9998,1,31,m,2025-08-06_12-01-25
43,2,theta_stim,theta,18,2,28,left,right,,,,,2000.0,250.0,252.68116879463196,252.681165933609,9998,1,31,m,2025-08-06_12-01-25
44,2,theta_stim,theta,19,2,28,right,left,,,,,2000.0,250.0,258.4582951068878,258.4582908153534,9998,1,31,m,2025-08-06_12-01-25
45,2,theta_stim,theta,20,2,28,right,left,,,,,2000.0,250.0,264.22991585731506,264.2299120426178,9998,1,31,m,2025-08-06_12-01-25
46,2,theta_stim,theta,21,2,28,right,left,,,,,2000.0,250.0,270.00591683387756,270.0059139728546,9998,1,31,m,2025-08-06_12-01-25
47,2,theta_stim,theta,22,2,28,right,left,,,,,2000.0,250.0,275.7815148830414,275.78151273727417,9998,1,31,m,2025-08-06_12-01-25
48,2,theta_stim,theta,23,2,28,right,left,,,,,2000.0,250.0,281.56053495407104,281.5605309009552,9998,1,31,m,2025-08-06_12-01-25
49,2,theta_stim,theta,24,2,28,right,left,,,,,2000.0,250.0,287.3330907821655,287.33308696746826,9998,1,31,m,2025-08-06_12-01-25
50,2,theta_stim,theta,25,2,28,left,right,,,,,2000.0,250.0,293.1105499267578,293.11054515838623,9998,1,31,m,2025-08-06_12-01-25
51,2,theta_stim,theta,26,2,28,left,right,,,,,2000.0,250.0,298.8795347213745,298.87953090667725,9998,1,31,m,2025-08-06_12-01-25
52,2,theta_stim,theta,27,2,28,left,right,,,,,2000.0,250.0,304.6605718135834,304.6605679988861,9998,1,31,m,2025-08-06_12-01-25
53,2,theta_stim,theta,0,1,26,right,left,,,,,2000.0,250.0,310.4282717704773,310.42826795578003,9998,1,31,m,2025-08-06_12-01-25
54,2,theta_stim,theta,1,1,26,right,left,,,,,2000.0,250.0,316.2095286846161,316.2095248699188,9998,1,31,m,2025-08-06_12-01-25
55,2,theta_stim,theta,2,1,26,left,right,,,,,2000.0,250.0,321.99089097976685,321.9908866882324,9998,1,31,m,2025-08-06_12-01-25
56,2,theta_stim,theta,3,1,26,left,right,,,,,2000.0,250.0,327.7595567703247,327.75955295562744,9998,1,31,m,2025-08-06_12-01-25
57,2,theta_stim,theta,4,1,26,right,left,,,,,2000.0,250.0,333.5385820865631,333.5385777950287,9998,1,31,m,2025-08-06_12-01-25
58,2,theta_stim,theta,5,1,26,right,left,,,,,2000.0,250.0,339.3174858093262,339.3174829483032,9998,1,31,m,2025-08-06_12-01-25
59,2,theta_stim,theta,6,1,26,right,left,,,,,2000.0,250.0,345.09082984924316,345.0908257961273,9998,1,31,m,2025-08-06_12-01-25
60,2,theta_stim,theta,7,1,26,right,left,,,,,2000.0,250.0,350.87197184562683,350.871967792511,9998,1,31,m,2025-08-06_12-01-25
61,2,theta_stim,theta,8,1,26,left,right,,,,,2000.0,250.0,356.6512589454651,356.65125584602356,9998,1,31,m,2025-08-06_12-01-25
62,2,theta_stim,theta,9,1,26,right,left,,,,,2000.0,250.0,362.4312551021576,362.4312517642975,9998,1,31,m,2025-08-06_12-01-25
